df_n_single
4.0
32.0
2.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
2.0
48.0
4.0
2.0
-118.0
4.0
116.0
2.0
4.0
32.0
4.0
4.0
28.0
4.0
2.0
12.0
4.0
4.0
524.0
2.0
4.0
16.0
2.0
4.0
18.0
4.0
2.0
-116.0
4.0
2.0
-562.0
2.0
12.0
4.0
4.0
22.0
4.0
4.0
22.0
4.0
4.0
436.0
2.0
4.0
16.0
2.0
4.0
18.0
4.0
2.0
-116.0
4.0
2.0
-474.0
2.0
4.0
454.0
2.0
4.0
18.0
4.0
2.0
-554.0
2.0
2.0
32.0
4.0
4.0
28.0
4.0
2.0
26.0
4.0
4.0
216.0
2.0
4.0
16.0
2.0
4.0
18.0
4.0
2.0
-116.0
4.0
2.0
-254.0
2.0
26.0
4.0
4.0
216.0
2.0
4.0
18.0
4.0
2.0
-316.0
2.0
4.0
-572.0
4.0
2.0
32.0
4.0
4.0
28.0
4.0
2.0
22.0
424.0
2.0
2.0
-814.0
4.0
812.0
2.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
4.0
-920.0
2.0
2.0
906.0
4.0
4.0
-50.0
4.0
2.0
48.0
4.0
4.0
-1008.0
2.0
4.0
-182.0
2.0
4.0
10.0
2.0
4.0
32.0
2.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
-124.0
2.0
2.0
110.0
4.0
4.0
-50.0
4.0
4.0
