11FB2,addi
11FB4,sd
11FB6,sd
11FB8,addi
11FBA,mv
11FBC,sd
11FC0,sw
11FC4,auipc
11FC8,jalr
11FE8,addi
11FEA,sd
11FEC,sd
11FEE,addi
11FF0,mv
11FF2,sd
11FF6,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12030,lui
12034,addi
12038,sd
1203C,ld
1203E,ld
12040,addi
12042,ret
11FCC,auipc
11FD0,jalr
12044,addi
12046,sd
12048,sd
1204A,addi
1204C,lui
12050,addi
12054,auipc
12058,jalr
124D0,auipc
124D4,ld
124D8,jalr
12460,auipc
12464,sub
12468,ld
1246C,addi
12470,addi
12474,srli
12478,ld
1247C,jr
40019890,addi
40019892,sc
40019896,sc
4001989A,sc
4001989E,sc
400198A2,sc
400198A6,sc
400198AA,sc
400198AE,sc
400198B2,sd
400198B4,fsd
400198B6,fsd
400198B8,fsd
400198BA,fsd
400198BC,fsd
400198BE,fsd
400198C0,fsd
400198C2,fsd
400198C4,slli
400198C8,add
400198CA,mv
400198CC,jal
4001CD56,addi
4001CD5A,sd
4001CD5E,sd
4001CD62,sd
4001CD66,sd
4001CD6A,sd
4001CD6E,sd
4001CD72,auipc
4001CD76,ld
4001CD7A,ld
4001CD7C,mv
4001CD7E,mv
4001CD80,mv
4001CD82,mv
4001CD84,auipc
4001CD88,jalr
400230CC,addi
400230CE,sd
400230D0,sd
400230D2,sd
400230D4,sd
400230D6,beqz
400230D8,mv
400230DA,mv
400230DC,lw
400230DE,auipc
400230E2,addi
400230E6,ld
400230EA,jalr
400230A4,auipc
400230A8,addi
400230AC,lw
400230AE,or
400230B0,sw
400230B2,mv
400230B4,ret
400230EC,lw
400230EE,and
400230F0,sext.w
400230F4,mv
400230F6,bnez
400230F8,ld
400230FC,ld
400230FE,jalr
40022EB6,addi
40022EB8,amoadd.w
40022EBC,fence
40022EC0,lwu
40022EC4,andi
40022EC6,bnez
40022EC8,ret
40023100,addi
40023102,sw
40023104,ld
40023106,ld
40023108,ld
4002310A,ld
4002310C,addi
4002310E,ret
4001CD8C,addi
